user_id,text,timestamp,likes,replies
@nicolgaete9068,Ta weno el reality😂,2025-11-14T01:22:37Z,2,0
@Tumaimafbcvx.123,Se viene harold vs jara,2025-11-14T00:50:39Z,0,0
@kshaossohask9674,Hay cosas que paradas duran mucho tiempo. Harold Mayne Nicholls 2025,2025-11-14T00:01:42Z,0,0
@chikitaIntl,"Quede peor q antes jajajaja no hay nadie digno en ese grupo, votaremos al menos malo no mas...",2025-11-13T21:32:37Z,3,1
@VichooVfx,"Me da pena el Maine Nichols. es un hombre sereno y honesto. pero le falta caracter, es muy lánguido y parece no posicionarse con una postura, y eso se ve en sus propuestas utopicas",2025-11-13T20:18:01Z,0,0
@geraldains,"A pesar de que hay harta energía en el norte, también es cara la ""luz"". El canal de conexión no es el problema",2025-11-13T18:45:42Z,0,0
@rafaelamiraudamarks4038,"habla de cuestionar indultar a ""viejitos"" violadores de niños por ser contrario a tratados internacionales y ser un peligro para la sociedad, pero no se cuestiona que indultar a violadores de derechos humanos por las mismas razones.... sobre ideologizado y contradictorio. Los candidatos de derecha o centro derecha como se quieran denominar si que son un peligro para esta sociedad",2025-11-13T17:40:47Z,0,0
@pazandreaherreraminder2410,"Candidata jara, REDUCIENDO LA INFLACION???, metamosno al banco central, veamos los graficos y el nivel del pib en que vamos, de verdad es normal en nivel de inflacion en 4 años estar llegando al 5%, cuando lo normal es hasta el 3%",2025-11-13T17:31:22Z,1,0
@ChuckPalomo,"No se por que tildan a Jara de ser blanda con el crimen, cuando es la unica que propone un plan realista para combatir al crimen organizado, que es siguiendo el rastro de dinero para dar con las organizaciones e individuos que financian y coordinan a las bandas criminales, el trafico humano en la frontera, y que ademas poseen el capital politico para sobornar o amenazar oficiales de alto rango. Un operativo como el de Rio solo es efectivo cuando sirve un proposito estrategico, y no es un show de publicidad para la re-eleccion alcalde. Al dia siguiente de la operacion las fuerzas del BOPE ya se habian replegado, y el Comando Vermelho retomo el control del cerro como si nada hubiese pasado. ¿De que wea sirve matar 100 peones si todos los dias llegan miles de inmigrantes  empobrecidos listos para tomar su lugar? es como subirte al ring con las manos atadas.",2025-11-13T17:13:34Z,0,0
@barbaravalenzuela9464,Káiser Presidente 2026!!! Por lejos el mejor para nuestro país,2025-11-13T16:52:04Z,2,0
@jorgezarate3401,Los MAKAKA están drogados?,2025-11-13T16:37:40Z,0,0
@alejandromorales-p2c,"Candidata, ¿qué haría usted para mejorar la salud de los chilenos?

Jara: hay que levantar el secreto bancario, hay que levantar el secreto bancario, hay que levantar el secreto bancario, hay que levantar el secreto bancario.

De verdad, es lo único que sabe esa mujer. Un monotema brutal.",2025-11-13T16:27:06Z,1,0
@marleneavila275,"No hablaron  de la crisis ambiental,hay uno se da cuenta que no es importante para el país.",2025-11-13T16:21:47Z,4,0
@marcocadas9643,2:34:40 Parisi dice LEL,2025-11-13T15:55:33Z,0,0
@lidiacortez5443,José Antonio kas,2025-11-13T15:45:26Z,0,0
@ī0redan,02:14:30,2025-11-13T13:22:21Z,1,1
@AndresGuillermoHachivuryTercer,Lejos el mejor es franco Parisi el mejor preparado propuestas buenas y el único que está preparado educacional mente preparado todo el resto son unos payasos,2025-11-13T12:23:23Z,4,0
@cesarcarrasco77,Jajajajaj está wea parece un circo 🎪,2025-11-13T11:54:35Z,1,0
@valentinaarriagada5860,Cuándo hay que pedir receta médica para pastillas anticonceptivas? Parisi😅,2025-11-13T11:20:23Z,2,0
@h2h1jxan,los candidatos respondiendo lo que quieren atacandose entre ellos ñ periodistas esbozando sonrisas ironicas mientras entrevista es todo un circo desde los periodistas hasta los candidatos,2025-11-13T11:18:48Z,3,0
@nicolevanbaal4988,Kaiser sorprendido cuand Matamala le dice que pasa con la gente que no puede ahorar 12.000 pesos al mes para la PGU patrimonial que propone con cotización en su programa.. Claramente no conoce la realidad de miles de personas en Chile cuando piensa que todos pueden ahorrar como él.,2025-11-13T11:00:12Z,4,0
@Basthi4N,"36 pacos pa cada wn, increible xd",2025-11-13T10:22:53Z,2,0
@ceciliadiazvonmarees9984,"Ominami..la derecha dura, la derecha dura, mediocre. Los únicos serios son: Kast, Mattei y Kaiser. Los demás son charlatanes y hablan puras leseras, esa es la realidad!",2025-11-13T06:19:42Z,2,0
@sebafica5991,Que manera de preguntar estupideces soledad Oneto,2025-11-13T05:09:32Z,0,0
@MrMaveric789,El capitalismo introduce inseguridad para vender estabilidad (Bauman).,2025-11-13T05:07:57Z,0,0
@rfv694,A kast no le interesa el país está obsesionado con boric,2025-11-13T03:58:23Z,1,0
@EnzoEfe1,"11:45 a ver, te leo la carta por vigésima quinta vez…aquellos que cotizan…",2025-11-13T03:32:15Z,1,0
@ceciliadiazvonmarees9984,Kast  el mejooor!!!,2025-11-13T03:19:02Z,0,0
@ceciliadiazvonmarees9984,"Kast, solido, preciso y conciso. Kast presidente  de Chile!!!",2025-11-13T02:56:17Z,0,0
@opsye958,"00:11:00 Inicio
00:12:30 Seguridad
00:35:00 Derecho a Réplica Seguridad
00:41:00 Políticas Sociales
1:02:54 Derecho a réplica Políticas Sociales
1:16:50 Preguntas Directas
1:40:30 Economía
2:06:25 IA Sector político que representa
2:08:15 Gobernabilidad: - Derechos Humanos
2:18:00 - Mega Toma de San Antonio Orden judicial VS niños viviendo ahí, ""Soluciones"".
2:24:45 - Hipótesis Sobre Invasión en Venezuela
2:28:45 - Situación en Temucuicui
2:31:00 Derecho a réplica en relación a todos los temas anteriores
2:44:20 Segunda Ronda de preguntas directas
3:00:00 Discurso Final al País
3:09:50 Fin 

Mucho Éxito a La o El Mejor Candidato a la Presidencia.
❤🏁",2025-11-13T02:54:59Z,28,0
@kratobal6,Cumplo 85 XDDDD,2025-11-13T02:10:32Z,1,0
@LuisTapia-mi3hd,Vamos kast crack crack,2025-11-13T02:00:42Z,0,0
@Tumaimafbcvx.123,No mas afp,2025-11-13T01:52:56Z,0,0
@Tumaimafbcvx.123,No mas afp,2025-11-13T01:45:31Z,0,0
@Tumaimafbcvx.123,No mas afp,2025-11-13T01:45:15Z,0,0
@jorgebarrales2325,Porque será que en china lo usa de ejemplo,2025-11-13T01:33:13Z,1,0
@Tommy-hb3oo,Afortunadamente Johannes Kaiser 🇨🇱🗽 será nuestro Gran Presidente. Por fin Chile 🇨🇱 y los Chilenos decentes e inteligente 🧠 Tendremos un Tremendo y Gran Presidente Johannes Kaiser 🤍💙♥️🇨🇱🗽,2025-11-13T00:22:43Z,1,0
@elsaherrera7205,"Todos tienen cosas buenas y malas, por más que ellos digan lo que quieran hacer con el país, todo tomara tiempo, como chilenos tenemos que tener paciencia, porque todo se hace con plata, y la plata no nace de los árboles, entonces hay que entender lo complicado que es y mucho más arreglar un país. A cualquiera que Votemos, no arreglara al país tan rápido. Solo hay que esperar y tener fe por el futuro de chile",2025-11-12T23:38:47Z,5,0
@elsaherrera7205,"Que importa que parisi diga donde trabajaba antes ? No es nada importante, porque no le hicieron preguntas verdaderamente importantes como cosas del país",2025-11-12T23:34:34Z,2,1
@Melianacl,Kaiser el mejor!,2025-11-12T23:20:14Z,0,0
@palmagomez2035,"Dada la cantidad de espacios publicitarios, me tome la libertad de seccionar los bloques del debate para que puedan saltarse fácilmente los comerciales.

0:00 Dinamica del debate y presentación de candidatos
4:03 Inicio de comerciales

11:37 Comienzo del programa y breves aclaraciones


12:05 Comienzo Primer bloque
1:08:20 Fin primer bloque y comienzo de comerciales

1:15:40 Comienzo segundo bloque
1:32:43 Fin Segundo bloque y comienzo de comerciales

1:40:00 Comienzo tercer bloque
2:36:50 Fin del tercer bloque y comienzo de comerciales

2:44:10 Comienzo Cuarto bloque
3:11:22 Cierre del debate",2025-11-12T22:01:48Z,13,1
@jazminelizabethsosperrey3221,Kaiser❤,2025-11-12T21:44:06Z,0,0
@alquimiasonica6881,"Vi todo el debate Jara repitió 2 veces el tema del levantamiento del secreto bancario, está ansiosa de sacarle plata a la gente",2025-11-12T21:34:18Z,1,0
@alejandroleon5722,se paso kramer!!!! me rei mucho,2025-11-12T21:14:55Z,0,0
@Osito-o4d,Voto 1 Parisi sin dudarlo,2025-11-12T20:48:53Z,5,0
@jonhaali4601,cualquier opciones es mejor que algun comunista ladron y mitamo(a),2025-11-12T20:47:15Z,1,0
@guarimana,PARISI PRESIDENTE🎉,2025-11-12T20:30:25Z,2,0
@barbarabarrientos6187,Pero jara no tiene argumentos x dios,2025-11-12T19:52:23Z,1,0
