comment,replies,user_name,date,likes
"Que aya dicho que maduro es un dictador,me convenció,mi voto es para Marco❤",[],@RosarioAndrade-w9c,2025-11-13T22:58:22Z,2
"Ah, los comentarios de los debates siempre demuestran lo mismo. Nadie viene aquí a escuchar propuestas, solo a fortalecer su sesgo de confirmación.

EDIT: Y que hay bots de derecha. No estoy insultando, lo digo literalmente, hay cuentas bots en los comentarios.",[],@Gakoth,2025-11-13T22:24:53Z,3
José Antonio Kast realmente dio alguna propuesta o este gobierno de fracasado le quitó las palabras de la boca,[],@MiguelVillagrán-q2x,2025-11-13T21:12:03Z,1
"Propuestas resumen 
Kast : mejorar la seguridad 
Parisi : inyectar dinero en la gente 
Artes: detener a la bestia de estados unidos
Harold: la ludopatia no xd",[],@felipefernandez5181,2025-11-13T20:07:35Z,2
"Jara, esos dineros para las cuidadoras lamentablemente es para las mujeres que estan bajo el.60% en el RSH... no es para todas.",[],@J.1990.M,2025-11-13T17:02:17Z,1
Kast lo que sea que le preguntan… es que el gobierno…😂,[],@pamelaaraneda-t9x,2025-11-13T15:53:55Z,1
Esto no es debate sino una entrevista o conversatorio. Pésimo,[],@EmersonFigueroa-v1x,2025-11-13T15:52:05Z,1
kast habla y a la vez no dice nada 🤡🤡🤡,[],@diegobarrientos49,2025-11-13T15:36:36Z,1
"En china hay pena de muerte para los que cometen delito y traicion a la patria  ayá en china la justicia es justicia y aca en chile es un chiste estos comunistas por que no hablan de la pena de muerte en china? Siempre enfocados solo en el capitalismo son unos, chantas",[],@AlelíTejidos,2025-11-13T13:20:06Z,1
"OJO QUE TODOS ESTOS SEUDO-PERIODISTAS TODOS SON ""OCTUBRISTAS"" ANTI DERECHA.",[],@neoian6356,2025-11-13T13:11:20Z,0
Parisi es el indicado,[],@pipoamir2494,2025-11-13T12:54:02Z,0
"La info🎉rmante, Soledad Oneto , era madura profesionalmente, se esta apichando....debe tener mucha amistad con el tonto candidato Ominami...que pregunta tan estúpida  y su carita de empatia....a pensantes como Kast y Kaiser se va con tanto odio y deseando hacerles sancadilla, quedando como una estupida, pirque Ellos son GRANDES, y saben sobre que palo trepan, apuchada Soleto",[],@elizabethangel82,2025-11-13T12:09:32Z,0
"Estos periodistas zurdos , hacen preguntas tan estupidas, donde desearían  , poner en dudas  programadas de exelentes propuestas para la realidad de un pais, como los programas de Kaiser y Kast, .( Desinformando...Horror).. ...ojala,  Kaiser o Kast , gobiernen bien, ...y SI cierren tvn y traigan a propuesta,   abriendo convocatorias por meritocracia, junto a directores de canales profesionales, que hagan renovación y lo mas importante, elevar el prestigio de esta importante profesión del Periodismo que debe tener información  objetiva y ACTUAL para avance del pais...estamos hartos de estos fracasados periodistas, no hay ni uno que se salve...triste ver en esta epoca de la mujer, ver en estas periodistas, al enfrentar a una situación  en la que no estan de acuerdo sacan una mirada , un rostro lleno de odio e irrespeto, que horror...cambio de Gobierno y Honor al periodismo Objetivo-Responsable",[],@elizabethangel82,2025-11-13T11:49:03Z,0
si meo no fuera tan reactivo y aweonao como el mrluzo votaria por el pero saco wea,[],@franciscolorenzolobosulloa9922,2025-11-13T11:29:26Z,0
Artes  Debe ser Presidente,[],@AnTimAson2031-t7c,2025-11-13T08:04:42Z,1
Saludos desde 🇺🇸😎🤘,[],@Angedanyiel,2025-11-13T07:48:01Z,0
Saludos desde 🇺🇸😎🤘,[],@Angedanyiel,2025-11-13T07:47:49Z,0
12:50 comienza,[],@cesararriagada302,2025-11-13T06:08:14Z,0
"Creo que la realidad es que hay tres personas alli que no tienen opcion ninguna, sobre todo Artes, que pienso que se quedo en el tiempo de Allende, y con ideas que si sucediera en algun rincon del Universo lograra liderar a una tribu de 20 personas, las llevaria a la miseria. Meo habla pero se transparenta que no tiene como gobernar un pais, seria una version de la Reina de Corazones. Harold se equivoco de arco, creo que hay gente que lo sigue pero no por politico ni estadista ni economista ni nada mas porque fue figura del deporte, ademas chutea todos los temas hacia el deporte, que fue su fuerte, pero aca es un pais y no un equipo de futbol. Creo que Mathei y Kast harian un gobierno pasable, pero me asaltan serias dudas sobre lo que dictamina la ONU y la Agenda 2030 que al parecer no le tienen antipatia, tal como fue con Piñera, quien dijo que apoyaba ciertas cosas pues si no lo hacia no habia prestamo de dinero. Y queda Kaiser, quien deberia ser el presidente, pero me imagino que la masa de zurdos van a querer que no pueda gobernar ya que los zurdos odian quedar fuera del gobierno, porque se les acaba la Dolce Vita. Gracias por leer.",[],@Bobibion,2025-11-13T05:32:34Z,0
Lo Mejor Lejos Kaiser.  4K....!!,[],@edomele36,2025-11-13T04:39:13Z,0
Meo y Artes ...Ojalá la última vez para ambos....!!,[],@edomele36,2025-11-13T04:38:26Z,0
Porquetanto kaiser. Que le ven.,[],@gabrielmirandaherrera6940,2025-11-13T04:17:32Z,0
Kaiser no va a gobernar. Viva kast.,[],@gabrielmirandaherrera6940,2025-11-13T04:14:26Z,0
Que chucha Artes wn???? Habla puras huevadas,[],@nicolashadwah4243,2025-11-13T03:18:20Z,0
1:49:49 que artes te de una clase de economía básica es para dejar tu candidatura y meo habla de economía y ese wueon fue el asesor económico del boxeador de mujeres Alberto Fernández y Maine nicholls es demasiado inocente para un presidente,[],@macrock23,2025-11-13T03:07:16Z,0
